Name,Database link,Rating,Votes,Company external link
Everis,http://www.trabajobasura.info/directorio/everis.html,3.17,431.0,http://www.everis.es
Satec,http://www.trabajobasura.info/directorio/satec.html,4.54,392.0,http://www.satec.es
Alten,http://www.trabajobasura.info/directorio/alten.html,2.92,269.0,http://www.alten.es
Avalon Tecnologias de la Informacion,http://www.trabajobasura.info/directorio/avalon_tecnologias_de_la_informacion.html,3.45,188.0,http://www.avalon.com.es
Indra,http://www.trabajobasura.info/directorio/indra.html,3.41,185.0,http://www.indra.es
Accenture,http://www.trabajobasura.info/directorio/accenture.html,3.8,151.0,http://www.accenture.com
Insa Ibm Global Services,http://www.trabajobasura.info/directorio/insa_ibm_global_services.html,4.12,142.0,http://www.insags.com
Sermicro,http://www.trabajobasura.info/directorio/sermicro.html,3.03,139.0,http://www.sermicro.com
Altran,http://www.trabajobasura.info/directorio/altran.html,1.35,109.0,http://www.altran.com/es/
Coprava,http://www.trabajobasura.info/directorio/coprava.html,6.35,101.0,http://www.coprava.com
Unisys Consulting,http://www.trabajobasura.info/directorio/unisys_consulting.html,4.35,97.0,http://www.consulting.unisys.es
Sopra Group,http://www.trabajobasura.info/directorio/sopra_group.html,3.44,94.0,http://www.sopraprofit.es
DMSTI,http://www.trabajobasura.info/directorio/dmsti.html,4.72,90.0,http://www.dmsti.es
Axpe,http://www.trabajobasura.info/directorio/axpe.html,3.56,89.0,http://www.axpe.com
Ibermatica,http://www.trabajobasura.info/directorio/ibermatica.html,4.04,88.0,http://www.ibermatica.com
Cast info,http://www.trabajobasura.info/directorio/cast_info.html,4.65,77.0,http://www.cast-info.es
HP Outsourcing,http://www.trabajobasura.info/directorio/hp_outsourcing.html,4.88,77.0,http://www.hp.es
Amaris,http://www.trabajobasura.info/directorio/amaris.html,4.23,74.0,http://www.amaris.es
Dominion Ti,http://www.trabajobasura.info/directorio/dominion_ti.html,4.04,69.0,http://www.dominion.es
Capgemini,http://www.trabajobasura.info/directorio/capgemini.html,3.81,67.0,http://www.capgemini.es
ISBAN Global Services IGS,http://www.trabajobasura.info/directorio/isban_global_services_igs.html,2.7,65.0,http://www.isban.es
